,loss,eval
0,1.0,0.5638384025935382
1,1.1,0.5587629793418462
2,1.2000000000000002,0.5527757466057387
3,1.3000000000000003,0.5455366306583859
4,1.4000000000000004,0.5365299919901377
5,1.5000000000000004,0.524987400344045
6,1.6000000000000005,0.5098178845114463
7,1.7000000000000006,0.48964969012400117
8,1.8000000000000007,0.4632639026300805
9,1.9000000000000008,0.4307033226662647
10,2.000000000000001,0.39422445268661693
11,2.100000000000001,0.3570146406503659
12,2.200000000000001,0.32059174184073885
13,2.300000000000001,0.2846561275827791
14,2.4000000000000012,0.24916936031170447
15,2.5000000000000013,0.21567542551021052
16,2.6000000000000014,0.18655632752092274
17,2.7000000000000015,0.16328888151046464
18,2.8000000000000016,0.14572096512346858
19,2.9000000000000017,0.13271711577868722
20,3.0000000000000018,0.1230099097725938
21,3.100000000000002,0.11559722019862564
22,3.200000000000002,0.10978843414491482
23,3.300000000000002,0.10512991837173179
24,3.400000000000002,0.10132376496920101
25,3.500000000000002,0.09816928662409946
26,3.6000000000000023,0.09552623834861801
27,3.7000000000000024,0.09329281118734717
28,3.8000000000000025,0.09139256211104309
29,3.9000000000000026,0.08976651094216762
30,4.000000000000003,0.08836819545504783
